# Time-averaged data for fix logger
# TimeStep v_time_ps c_Fobs c_Fsum v_E
27000 54 -5.05151e-15 773.757 -6.52856e-18
27100 54.2 -5.05151e-15 773.757 -6.52856e-18
27200 54.4 -5.05151e-15 773.757 -6.52856e-18
27300 54.6 -5.05151e-15 773.757 -6.52856e-18
27400 54.8 -5.05151e-15 773.757 -6.52856e-18
27500 55 -5.05151e-15 773.757 -6.52856e-18
27600 55.2 -5.05151e-15 773.757 -6.52856e-18
27700 55.4 -5.05151e-15 773.757 -6.52856e-18
27800 55.6 -5.05151e-15 773.757 -6.52856e-18
27900 55.8 -5.05151e-15 773.757 -6.52856e-18
28000 56 -5.05151e-15 773.757 -6.52856e-18
28100 56.2 -5.05151e-15 773.757 -6.52856e-18
28200 56.4 -5.05151e-15 773.757 -6.52856e-18
28300 56.6 -5.05151e-15 773.757 -6.52856e-18
28400 56.8 -5.05151e-15 773.757 -6.52856e-18
28500 57 -5.05151e-15 773.757 -6.52856e-18
28600 57.2 -5.05151e-15 773.757 -6.52856e-18
28700 57.4 -5.05151e-15 773.757 -6.52856e-18
28800 57.6 -5.05151e-15 773.757 -6.52856e-18
28900 57.8 -5.05151e-15 773.757 -6.52856e-18
29000 58 -5.05151e-15 773.757 -6.52856e-18
29100 58.2 -5.05151e-15 773.757 -6.52856e-18
29200 58.4 -5.05151e-15 773.757 -6.52856e-18
29300 58.6 -5.05151e-15 773.757 -6.52856e-18
29400 58.8 -5.05151e-15 773.757 -6.52856e-18
29500 59 -5.05151e-15 773.757 -6.52856e-18
29600 59.2 -5.05151e-15 773.757 -6.52856e-18
29700 59.4 -5.05151e-15 773.757 -6.52856e-18
29800 59.6 -5.05151e-15 773.757 -6.52856e-18
29900 59.8 -5.05151e-15 773.757 -6.52856e-18
30000 60 -5.05151e-15 773.757 -6.52856e-18
