# Time-averaged data for fix log_x
# TimeStep v_E_x v_s_x
10519 0.263288 807.369
10520 0.263288 807.369
10521 0.263288 807.369
10522 0.263288 807.369
10523 0.263288 807.369
10524 0.263288 807.369
10525 0.263288 807.369
10526 0.263288 807.369
10527 0.263288 807.369
10528 0.263288 807.369
10529 0.263288 807.369
10530 0.263288 807.369
10531 0.263288 807.369
10532 0.263288 807.369
10533 0.263288 807.369
10534 0.263288 807.369
10535 0.263288 807.369
10536 0.263288 807.369
10537 0.263288 807.369
10538 0.263288 807.369
10539 0.263288 807.369
10540 0.263288 807.369
10541 0.263288 807.369
10542 0.263288 807.369
10543 0.263288 807.369
10544 0.263288 807.369
10545 0.263288 807.369
10546 0.263288 807.369
10547 0.263288 807.369
10548 0.263288 807.369
10549 0.263288 807.369
10550 0.263288 807.369
10551 0.263288 807.369
10552 0.263288 807.369
10553 0.263288 807.369
10554 0.263288 807.369
10555 0.263288 807.369
10556 0.263288 807.369
10557 0.263288 807.369
10558 0.263288 807.369
10559 0.263288 807.369
10560 0.263288 807.369
10561 0.263288 807.369
10562 0.263288 807.369
10563 0.263288 807.369
10564 0.263288 807.369
10565 0.263288 807.369
10566 0.263288 807.369
10567 0.263288 807.369
10568 0.263288 807.369
10569 0.263288 807.369
10570 0.263288 807.369
10571 0.263288 807.369
10572 0.263288 807.369
10573 0.263288 807.369
10574 0.263288 807.369
10575 0.263288 807.369
10576 0.263288 807.369
10577 0.263288 807.369
10578 0.263288 807.369
10579 0.263288 807.369
10580 0.263288 807.369
10581 0.263288 807.369
10582 0.263288 807.369
10583 0.263288 807.369
10584 0.263288 807.369
10585 0.263288 807.369
10586 0.263288 807.369
10587 0.263288 807.369
10588 0.263288 807.369
10589 0.263288 807.369
10590 0.263288 807.369
10591 0.263288 807.369
10592 0.263288 807.369
10593 0.263288 807.369
10594 0.263288 807.369
10595 0.263288 807.369
10596 0.263288 807.369
10597 0.263288 807.369
10598 0.263288 807.369
10599 0.263288 807.369
10600 0.263288 807.369
10601 0.263288 807.369
10602 0.263288 807.369
10603 0.263288 807.369
10604 0.263288 807.369
10605 0.263288 807.369
10606 0.263288 807.369
10607 0.263288 807.369
10608 0.263288 807.369
10609 0.263288 807.369
10610 0.263288 807.369
10611 0.263288 807.369
10612 0.263288 807.369
10613 0.263288 807.369
10614 0.263288 807.369
10615 0.263288 807.369
10616 0.263288 807.369
10617 0.263288 807.369
10618 0.263288 807.369
10619 0.263288 807.369
10620 0.263288 807.369
10621 0.263288 807.369
10622 0.263288 807.369
10623 0.263288 807.368
10624 0.263288 807.368
10625 0.263288 807.368
10626 0.263288 807.368
10627 0.263288 807.368
10628 0.263288 807.368
10629 0.263288 807.368
10630 0.263288 807.368
10631 0.263288 807.368
10632 0.263288 807.368
10633 0.263288 807.368
10634 0.263288 807.368
10635 0.263288 807.368
10636 0.263288 807.368
10637 0.263288 807.368
10638 0.263288 807.368
10639 0.263288 807.368
10640 0.263288 807.368
10641 0.263288 807.368
10642 0.263288 807.368
10643 0.263288 807.368
10644 0.263288 807.368
10645 0.263288 807.368
10646 0.263288 807.368
10647 0.263288 807.368
10648 0.263288 807.368
10649 0.263288 807.368
10650 0.263288 807.368
10651 0.263288 807.368
10652 0.263288 807.368
10653 0.263288 807.368
10654 0.263288 807.368
10655 0.263288 807.368
10656 0.263288 807.368
10657 0.263288 807.368
10658 0.263288 807.368
10659 0.263288 807.368
10660 0.263288 807.368
10661 0.263288 807.368
10662 0.263288 807.368
10663 0.263288 807.368
10664 0.263288 807.368
10665 0.263288 807.368
10666 0.263288 807.368
10667 0.263288 807.368
10668 0.263288 807.368
10669 0.263288 807.368
10670 0.263288 807.368
10671 0.263288 807.368
10672 0.263288 807.368
10673 0.263288 807.368
10674 0.263288 807.368
10675 0.263288 807.368
10676 0.263288 807.368
10677 0.263288 807.368
10678 0.263288 807.368
10679 0.263288 807.368
10680 0.263288 807.368
10681 0.263288 807.368
10682 0.263288 807.368
10683 0.263288 807.368
10684 0.263288 807.368
10685 0.263288 807.368
10686 0.263288 807.368
10687 0.263288 807.368
10688 0.263288 807.368
10689 0.263288 807.368
10690 0.263288 807.368
10691 0.263288 807.368
10692 0.263288 807.368
10693 0.263288 807.368
10694 0.263288 807.368
10695 0.263288 807.368
10696 0.263288 807.368
10697 0.263288 807.368
10698 0.263288 807.368
10699 0.263288 807.368
10700 0.263288 807.368
10701 0.263288 807.368
10702 0.263288 807.368
10703 0.263288 807.368
10704 0.263288 807.368
10705 0.263288 807.368
10706 0.263288 807.368
10707 0.263288 807.368
10708 0.263288 807.368
10709 0.263288 807.368
10710 0.263288 807.368
10711 0.263288 807.368
