# Time-averaged data for fix logger
# TimeStep c_Fsum c_Tglob
201200 941452 1.19984
201400 938243 1.20868
201600 937560 1.20771
201800 938435 1.21532
202000 934579 1.21422
202200 948477 1.21036
202400 938367 1.20798
202600 940576 1.21516
202800 944107 1.21967
203000 938739 1.21823
203200 939909 1.20366
203400 944812 1.2222
203600 935444 1.21802
203800 939544 1.22301
204000 951226 1.22133
204200 944325 1.21562
204400 947999 1.21479
204600 954107 1.22089
204800 944260 1.22435
205000 944079 1.22826
205200 957294 1.22621
205400 948378 1.22322
205600 958011 1.22534
205800 950175 1.22366
206000 948437 1.24063
206200 953001 1.22962
206400 950221 1.23123
206600 957810 1.23352
206800 956469 1.23029
207000 950056 1.2396
207200 951285 1.22909
207400 954663 1.23868
207600 954210 1.23902
207800 953571 1.22813
208000 960893 1.23819
208200 957576 1.24333
208400 952401 1.24817
208600 951129 1.23688
208800 960805 1.25076
209000 953724 1.24049
209200 959704 1.24742
209400 961782 1.23822
209600 965664 1.25069
209800 968172 1.2501
210000 959910 1.24635
210200 961763 1.2513
210400 966175 1.25555
210600 959971 1.24353
210800 969941 1.25172
211000 961601 1.26124
211200 967172 1.24949
211400 968851 1.25746
211600 967423 1.25804
211800 970202 1.26496
212000 968665 1.25136
212200 966616 1.26496
212400 969266 1.2574
212600 967507 1.27291
212800 969929 1.26171
213000 968988 1.26521
213200 976909 1.26409
213400 965298 1.26562
213600 975760 1.25593
213800 972330 1.27566
214000 965943 1.26792
214200 971587 1.26908
214400 974446 1.27684
214600 977119 1.25953
214800 976865 1.28186
215000 977011 1.27221
215200 978955 1.27523
215400 983044 1.27937
215600 973263 1.26875
215800 980565 1.27909
216000 977581 1.27751
216200 980668 1.27969
216400 984057 1.28259
216600 992016 1.27272
216800 991930 1.28717
217000 972477 1.27732
217200 983792 1.28783
217400 983903 1.2917
217600 974479 1.27988
217800 986951 1.28964
218000 987128 1.29671
218200 977764 1.28209
218400 985992 1.28762
218600 987618 1.29057
218800 985297 1.2973
219000 988457 1.27869
219200 998563 1.2968
219400 990507 1.29248
219600 988145 1.29626
219800 992484 1.30009
220000 990365 1.30724
220200 992526 1.28894
220400 997329 1.2982
220600 997026 1.30112
220800 988846 1.30219
221000 997738 1.31222
221200 997877 1.30292
221400 991886 1.30755
221600 1.00468e+06 1.31518
221800 995717 1.30764
222000 999405 1.31138
222200 1.00218e+06 1.31028
222400 990300 1.31205
222600 1.00141e+06 1.31563
222800 991416 1.30664
223000 992192 1.3203
223200 1.00142e+06 1.32095
223400 1.00142e+06 1.30188
223600 997656 1.32133
223800 1.00502e+06 1.31068
224000 994267 1.31938
224200 999907 1.32953
224400 998018 1.31523
224600 1.00413e+06 1.32938
224800 999696 1.32917
225000 996367 1.32712
225200 1.0083e+06 1.32692
225400 1.00299e+06 1.32552
225600 1.01183e+06 1.33497
225800 1.00137e+06 1.33066
226000 1.00243e+06 1.33344
226200 1.01197e+06 1.3288
226400 1.00242e+06 1.34423
226600 1.00415e+06 1.32743
226800 1.0144e+06 1.33266
227000 1.00766e+06 1.34287
227200 1.01033e+06 1.3252
227400 1.01412e+06 1.34037
227600 1.00997e+06 1.33475
227800 1.00201e+06 1.34421
228000 1.00924e+06 1.34438
228200 1.01121e+06 1.33494
228400 1.01358e+06 1.34997
228600 1.00899e+06 1.33948
228800 1.00719e+06 1.35876
229000 1.0133e+06 1.34007
229200 1.01702e+06 1.33903
229400 1.02427e+06 1.3451
229600 1.01486e+06 1.3535
229800 1.0045e+06 1.33899
230000 1.01746e+06 1.35184
230200 1.02577e+06 1.34966
230400 1.0201e+06 1.34687
230600 1.01574e+06 1.35358
230800 1.02214e+06 1.3595
231000 1.02548e+06 1.34855
231200 1.01678e+06 1.35282
231400 1.0156e+06 1.36073
