# Time-averaged data for fix logger
# TimeStep v_time_ps c_Fobs c_Fsum v_E
7170 3.585 -3.27516e-15 738.343 -4.43582e-18
7180 3.59 -3.27516e-15 738.343 -4.43582e-18
7190 3.595 -3.27516e-15 738.343 -4.43582e-18
7200 3.6 -3.27516e-15 738.343 -4.43582e-18
7210 3.605 -3.27516e-15 738.343 -4.43582e-18
7220 3.61 -3.27516e-15 738.343 -4.43582e-18
7230 3.615 -3.27516e-15 738.343 -4.43582e-18
7240 3.62 -3.27516e-15 738.343 -4.43582e-18
7250 3.625 -3.27516e-15 738.343 -4.43582e-18
7260 3.63 -3.27516e-15 738.343 -4.43582e-18
7270 3.635 -3.27516e-15 738.343 -4.43582e-18
7280 3.64 -3.27516e-15 738.343 -4.43582e-18
7290 3.645 -3.27516e-15 738.343 -4.43582e-18
7300 3.65 -3.27516e-15 738.343 -4.43582e-18
7310 3.655 -3.27516e-15 738.343 -4.43582e-18
7320 3.66 -3.27516e-15 738.343 -4.43582e-18
7330 3.665 -3.27516e-15 738.343 -4.43582e-18
7340 3.67 -3.27516e-15 738.343 -4.43582e-18
7350 3.675 -3.27516e-15 738.343 -4.43582e-18
7360 3.68 -3.27516e-15 738.343 -4.43582e-18
7370 3.685 -3.27516e-15 738.343 -4.43582e-18
7380 3.69 -3.27516e-15 738.343 -4.43582e-18
7390 3.695 -3.27516e-15 738.343 -4.43582e-18
7400 3.7 -3.27516e-15 738.343 -4.43582e-18
7410 3.705 -3.27516e-15 738.343 -4.43582e-18
7420 3.71 -3.27516e-15 738.343 -4.43582e-18
7430 3.715 -3.27516e-15 738.343 -4.43582e-18
7440 3.72 -3.27516e-15 738.343 -4.43582e-18
7450 3.725 -3.27516e-15 738.343 -4.43582e-18
7460 3.73 -3.27516e-15 738.343 -4.43582e-18
7470 3.735 -3.27516e-15 738.343 -4.43582e-18
7480 3.74 -3.27516e-15 738.343 -4.43582e-18
7490 3.745 -3.27516e-15 738.343 -4.43582e-18
7500 3.75 -3.27516e-15 738.343 -4.43582e-18
7510 3.755 -3.27516e-15 738.343 -4.43582e-18
7520 3.76 -3.27516e-15 738.343 -4.43582e-18
7530 3.765 -3.27516e-15 738.343 -4.43582e-18
7540 3.77 -3.27516e-15 738.343 -4.43582e-18
7550 3.775 -3.27516e-15 738.343 -4.43582e-18
7560 3.78 -3.27516e-15 738.343 -4.43582e-18
7570 3.785 -3.27516e-15 738.343 -4.43582e-18
7580 3.79 -3.27516e-15 738.343 -4.43582e-18
7590 3.795 -3.27516e-15 738.343 -4.43582e-18
7600 3.8 -3.27516e-15 738.343 -4.43582e-18
7610 3.805 -3.27516e-15 738.343 -4.43582e-18
7620 3.81 -3.27516e-15 738.343 -4.43582e-18
7630 3.815 -3.27516e-15 738.343 -4.43582e-18
7640 3.82 -3.27516e-15 738.343 -4.43582e-18
7650 3.825 -3.27516e-15 738.343 -4.43582e-18
7660 3.83 -3.27516e-15 738.343 -4.43582e-18
7670 3.835 -3.27516e-15 738.343 -4.43582e-18
7680 3.84 -3.27516e-15 738.343 -4.43582e-18
7690 3.845 -3.27516e-15 738.343 -4.43582e-18
7700 3.85 -3.27516e-15 738.343 -4.43582e-18
7710 3.855 -3.27516e-15 738.343 -4.43582e-18
7720 3.86 -3.27516e-15 738.343 -4.43582e-18
7730 3.865 -3.27516e-15 738.343 -4.43582e-18
7740 3.87 -3.27516e-15 738.343 -4.43582e-18
7750 3.875 -3.27516e-15 738.343 -4.43582e-18
7760 3.88 -3.27516e-15 738.343 -4.43582e-18
7770 3.885 -3.27516e-15 738.343 -4.43582e-18
7780 3.89 -3.27516e-15 738.343 -4.43582e-18
7790 3.895 -3.27516e-15 738.343 -4.43582e-18
7800 3.9 -3.27516e-15 738.343 -4.43582e-18
7810 3.905 -3.27516e-15 738.343 -4.43582e-18
7820 3.91 -3.27516e-15 738.343 -4.43582e-18
7830 3.915 -3.27516e-15 738.343 -4.43582e-18
7840 3.92 -3.27516e-15 738.343 -4.43582e-18
7850 3.925 -3.27516e-15 738.343 -4.43582e-18
7860 3.93 -3.27516e-15 738.343 -4.43582e-18
7870 3.935 -3.27516e-15 738.343 -4.43582e-18
7880 3.94 -3.27516e-15 738.343 -4.43582e-18
7890 3.945 -3.27516e-15 738.343 -4.43582e-18
7900 3.95 -3.27516e-15 738.343 -4.43582e-18
7910 3.955 -3.27516e-15 738.343 -4.43582e-18
7920 3.96 -3.27516e-15 738.343 -4.43582e-18
7930 3.965 -3.27516e-15 738.343 -4.43582e-18
7940 3.97 -3.27516e-15 738.343 -4.43582e-18
7950 3.975 -3.27516e-15 738.343 -4.43582e-18
7960 3.98 -3.27516e-15 738.343 -4.43582e-18
7970 3.985 -3.27516e-15 738.343 -4.43582e-18
7980 3.99 -3.27516e-15 738.343 -4.43582e-18
7990 3.995 -3.27516e-15 738.343 -4.43582e-18
8000 4 -3.27516e-15 738.343 -4.43582e-18
8010 4.005 -3.27516e-15 738.343 -4.43582e-18
8020 4.01 -3.27516e-15 738.343 -4.43582e-18
8030 4.015 -3.27516e-15 738.343 -4.43582e-18
8040 4.02 -3.27516e-15 738.343 -4.43582e-18
8050 4.025 -3.27516e-15 738.343 -4.43582e-18
8060 4.03 -3.27516e-15 738.343 -4.43582e-18
8070 4.035 -3.27516e-15 738.343 -4.43582e-18
8080 4.04 -3.27516e-15 738.343 -4.43582e-18
8090 4.045 -3.27516e-15 738.343 -4.43582e-18
8100 4.05 -3.27516e-15 738.343 -4.43582e-18
8110 4.055 -3.27516e-15 738.343 -4.43582e-18
8120 4.06 -3.27516e-15 738.343 -4.43582e-18
8130 4.065 -3.27516e-15 738.343 -4.43582e-18
8140 4.07 -3.27516e-15 738.343 -4.43582e-18
8150 4.075 -3.27516e-15 738.343 -4.43582e-18
8160 4.08 -3.27516e-15 738.343 -4.43582e-18
8170 4.085 -3.27516e-15 738.343 -4.43582e-18
8180 4.09 -3.27516e-15 738.343 -4.43582e-18
8190 4.095 -3.27516e-15 738.343 -4.43582e-18
8200 4.1 -3.27516e-15 738.343 -4.43582e-18
8210 4.105 -3.27516e-15 738.343 -4.43582e-18
8220 4.11 -3.27516e-15 738.343 -4.43582e-18
8230 4.115 -3.27516e-15 738.343 -4.43582e-18
8240 4.12 -3.27516e-15 738.343 -4.43582e-18
8250 4.125 -3.27516e-15 738.343 -4.43582e-18
8260 4.13 -3.27516e-15 738.343 -4.43582e-18
8270 4.135 -3.27516e-15 738.343 -4.43582e-18
8280 4.14 -3.27516e-15 738.343 -4.43582e-18
8290 4.145 -3.27516e-15 738.343 -4.43582e-18
8300 4.15 -3.27516e-15 738.343 -4.43582e-18
8310 4.155 -3.27516e-15 738.343 -4.43582e-18
8320 4.16 -3.27516e-15 738.343 -4.43582e-18
8330 4.165 -3.27516e-15 738.343 -4.43582e-18
8340 4.17 -3.27516e-15 738.343 -4.43582e-18
8350 4.175 -3.27516e-15 738.343 -4.43582e-18
8360 4.18 -3.27516e-15 738.343 -4.43582e-18
8370 4.185 -3.27516e-15 738.343 -4.43582e-18
8380 4.19 -3.27516e-15 738.343 -4.43582e-18
8390 4.195 -3.27516e-15 738.343 -4.43582e-18
8400 4.2 -3.27516e-15 738.343 -4.43582e-18
8410 4.205 -3.27516e-15 738.343 -4.43582e-18
8420 4.21 -3.27516e-15 738.343 -4.43582e-18
8430 4.215 -3.27516e-15 738.343 -4.43582e-18
8440 4.22 -3.27516e-15 738.343 -4.43582e-18
8450 4.225 -3.27516e-15 738.343 -4.43582e-18
8460 4.23 -3.27516e-15 738.343 -4.43582e-18
8470 4.235 -3.27516e-15 738.343 -4.43582e-18
8480 4.24 -3.27516e-15 738.343 -4.43582e-18
8490 4.245 -3.27516e-15 738.343 -4.43582e-18
8500 4.25 -3.27516e-15 738.343 -4.43582e-18
8510 4.255 -3.27516e-15 738.343 -4.43582e-18
8520 4.26 -3.27516e-15 738.343 -4.43582e-18
8530 4.265 -3.27516e-15 738.343 -4.43582e-18
8540 4.27 -3.27516e-15 738.343 -4.43582e-18
8550 4.275 -3.27516e-15 738.343 -4.43582e-18
8560 4.28 -3.27516e-15 738.343 -4.43582e-18
8570 4.285 -3.27516e-15 738.343 -4.43582e-18
8580 4.29 -3.27516e-15 738.343 -4.43582e-18
8590 4.295 -3.27516e-15 738.343 -4.43582e-18
8600 4.3 -3.27516e-15 738.343 -4.43582e-18
8610 4.305 -3.27516e-15 738.343 -4.43582e-18
8620 4.31 -3.27516e-15 738.343 -4.43582e-18
8630 4.315 -3.27516e-15 738.343 -4.43582e-18
8640 4.32 -3.27516e-15 738.343 -4.43582e-18
8650 4.325 -3.27516e-15 738.343 -4.43582e-18
8660 4.33 -3.27516e-15 738.343 -4.43582e-18
8670 4.335 -3.27516e-15 738.343 -4.43582e-18
8680 4.34 -3.27516e-15 738.343 -4.43582e-18
8690 4.345 -3.27516e-15 738.343 -4.43582e-18
8700 4.35 -3.27516e-15 738.343 -4.43582e-18
8710 4.355 -3.27516e-15 738.343 -4.43582e-18
8720 4.36 -3.27516e-15 738.343 -4.43582e-18
8730 4.365 -3.27516e-15 738.343 -4.43582e-18
8740 4.37 -3.27516e-15 738.343 -4.43582e-18
8750 4.375 -3.27516e-15 738.343 -4.43582e-18
8760 4.38 -3.27516e-15 738.343 -4.43582e-18
8770 4.385 -3.27516e-15 738.343 -4.43582e-18
8780 4.39 -3.27516e-15 738.343 -4.43582e-18
8790 4.395 -3.27516e-15 738.343 -4.43582e-18
8800 4.4 -3.27516e-15 738.343 -4.43582e-18
8810 4.405 -3.27516e-15 738.343 -4.43582e-18
8820 4.41 -3.27516e-15 738.343 -4.43582e-18
8830 4.415 -3.27516e-15 738.343 -4.43582e-18
8840 4.42 -3.27516e-15 738.343 -4.43582e-18
8850 4.425 -3.27516e-15 738.343 -4.43582e-18
8860 4.43 -3.27516e-15 738.343 -4.43582e-18
8870 4.435 -3.27516e-15 738.343 -4.43582e-18
8880 4.44 -3.27516e-15 738.343 -4.43582e-18
8890 4.445 -3.27516e-15 738.343 -4.43582e-18
8900 4.45 -3.27516e-15 738.343 -4.43582e-18
8910 4.455 -3.27516e-15 738.343 -4.43582e-18
8920 4.46 -3.27516e-15 738.343 -4.43582e-18
8930 4.465 -3.27516e-15 738.343 -4.43582e-18
8940 4.47 -3.27516e-15 738.343 -4.43582e-18
8950 4.475 -3.27516e-15 738.343 -4.43582e-18
8960 4.48 -3.27516e-15 738.343 -4.43582e-18
8970 4.485 -3.27516e-15 738.343 -4.43582e-18
8980 4.49 -3.27516e-15 738.343 -4.43582e-18
8990 4.495 -3.27516e-15 738.343 -4.43582e-18
9000 4.5 -3.27516e-15 738.343 -4.43582e-18
9010 4.505 -3.27516e-15 738.343 -4.43582e-18
9020 4.51 -3.27516e-15 738.343 -4.43582e-18
9030 4.515 -3.27516e-15 738.343 -4.43582e-18
9040 4.52 -3.27516e-15 738.343 -4.43582e-18
9050 4.525 -3.27516e-15 738.343 -4.43582e-18
9060 4.53 -3.27516e-15 738.343 -4.43582e-18
9070 4.535 -3.27516e-15 738.343 -4.43582e-18
9080 4.54 -3.27516e-15 738.343 -4.43582e-18
9090 4.545 -3.27516e-15 738.343 -4.43582e-18
9100 4.55 -3.27516e-15 738.343 -4.43582e-18
9110 4.555 -3.27516e-15 738.343 -4.43582e-18
9120 4.56 -3.27516e-15 738.343 -4.43582e-18
9130 4.565 -3.27516e-15 738.343 -4.43582e-18
9140 4.57 -3.27516e-15 738.343 -4.43582e-18
9150 4.575 -3.27516e-15 738.343 -4.43582e-18
9160 4.58 -3.27516e-15 738.343 -4.43582e-18
9170 4.585 -3.27516e-15 738.343 -4.43582e-18
9180 4.59 -3.27516e-15 738.343 -4.43582e-18
9190 4.595 -3.27516e-15 738.343 -4.43582e-18
9200 4.6 -3.27516e-15 738.343 -4.43582e-18
9210 4.605 -3.27516e-15 738.343 -4.43582e-18
9220 4.61 -3.27516e-15 738.343 -4.43582e-18
9230 4.615 -3.27516e-15 738.343 -4.43582e-18
9240 4.62 -3.27516e-15 738.343 -4.43582e-18
9250 4.625 -3.27516e-15 738.343 -4.43582e-18
