# Time-averaged data for fix logH
# TimeStep v_H v_pressVar
35200 -4.57105e+07 -244.12
35300 -4.44983e+07 -237.637
35400 -2.49135e+07 -132.895
35500 -4.45547e+07 -237.939
35600 -4.23492e+07 -226.144
35700 -6.11021e+07 -326.437
35800 -4.34574e+07 -232.071
35900 -4.6841e+07 -250.167
36000 -3.94293e+07 -210.528
36100 -3.28404e+07 -175.29
36200 -2.29031e+07 -122.144
36300 -2.85004e+07 -152.079
36400 -6.994e+07 -373.705
36500 -6.81508e+07 -364.136
36600 -4.06223e+07 -216.909
36700 -2.82017e+07 -150.482
36800 -3.30258e+07 -176.282
36900 -4.18927e+07 -223.704
37000 -6.04369e+07 -322.882
37100 -5.46075e+07 -291.705
37200 -5.40084e+07 -288.502
37300 -5.21832e+07 -278.74
37400 -5.29038e+07 -282.594
37500 -2.45251e+07 -130.819
37600 -4.68054e+07 -249.979
37700 -6.82145e+07 -364.48
37800 -4.14791e+07 -221.493
37900 -5.58011e+07 -298.09
38000 -5.39568e+07 -288.227
38100 -1.72593e+07 -91.9606
38200 -4.42477e+07 -236.301
38300 -6.57505e+07 -351.303
38400 -5.7453e+07 -306.926
38500 -5.75537e+07 -307.465
38600 -2.81479e+07 -150.196
38700 -5.32331e+07 -284.358
38800 -2.5e+07 -133.361
38900 -4.89673e+07 -261.544
39000 -7.11404e+07 -380.132
39100 -5.63417e+07 -300.984
39200 -4.16651e+07 -222.491
39300 -1.90078e+07 -101.313
39400 -3.82411e+07 -204.178
39500 -4.81071e+07 -256.945
39600 -2.24737e+07 -119.85
39700 -5.03287e+07 -268.827
39800 -4.32289e+07 -230.855
39900 -4.28805e+07 -228.992
40000 -4.81368e+07 -257.104
40100 -4.89108e+07 -261.244
40200 -3.57321e+07 -190.761
40300 -3.82202e+07 -204.068
40400 -4.83265e+07 -258.12
40500 -5.42039e+07 -289.555
40600 -6.00106e+07 -320.611
40700 -6.33248e+07 -338.337
40800 -3.89498e+07 -207.971
40900 -4.88241e+06 -25.7669
41000 -3.89656e+07 -208.056
41100 -7.73366e+07 -413.279
41200 -5.41616e+07 -289.33
41300 -4.46447e+07 -238.431
41400 -5.95697e+07 -318.255
41500 -1.85661e+07 -98.9528
41600 -3.33816e+07 -178.192
41700 -4.21913e+07 -225.31
41800 -3.89333e+07 -207.885
41900 -4.69472e+07 -250.747
42000 -3.39841e+07 -181.415
42100 -3.26109e+07 -174.071
42200 -4.70498e+07 -251.297
42300 -3.56792e+07 -190.482
42400 -5.16932e+07 -276.132
42500 -2.38602e+07 -127.269
42600 -3.33701e+07 -178.133
42700 -6.21001e+07 -331.794
42800 -4.99485e+07 -266.802
42900 -3.13235e+07 -167.187
43000 -4.13515e+07 -220.822
43100 -2.90958e+07 -155.272
43200 -3.18256e+07 -169.873
43300 -3.61127e+07 -192.803
43400 -2.38509e+07 -127.221
43500 -1.10281e+07 -58.6381
43600 -2.57581e+07 -137.422
43700 -5.48019e+07 -292.763
43800 -3.93236e+07 -209.977
43900 -2.80944e+07 -149.918
44000 -3.03731e+07 -162.106
44100 -1.58466e+07 -84.4102
44200 -2.61081e+07 -139.294
44300 -3.82217e+07 -204.085
44400 -2.51428e+07 -134.132
44500 -3.54104e+07 -189.049
44600 -4.57972e+07 -244.604
44700 -1.283e+07 -68.2763
44800 -3.36583e+07 -179.679
44900 -2.75873e+07 -147.208
45000 -2.05427e+07 -109.529
45100 -3.91017e+07 -208.794
45200 -2.01827e+07 -107.604
45300 -2.25449e+07 -120.238
45400 -2.9049e+06 -15.1914
45500 -1.22207e+07 -65.0182
45600 -1.75153e+07 -93.3375
45700 -1.82242e+07 -97.129
45800 -1.42286e+07 -75.7585
45900 -2.50599e+06 -13.0578
46000 -2.55758e+07 -136.451
46100 -4.52552e+07 -241.711
46200 -1.69642e+07 -90.3907
46300 -1.75718e+06 -9.05267
46400 -2.53377e+07 -135.178
46500 -4.26742e+07 -227.907
46600 -2.94226e+07 -157.028
46700 -1.95898e+07 -104.435
46800 -1.75374e+07 -93.4572
46900 -5.30468e+06 -28.0276
47000 -1.32027e+07 -70.2721
47100 -3.20901e+06 -16.8183
47200 -2.10092e+07 -112.028
47300 -4.24162e+07 -226.53
47400 -3.73867e+07 -199.629
47500 -1.64999e+07 -87.9089
47600 -1.93236e+07 -103.012
47700 -3.20809e+06 -16.8136
47800 1.9202e+07 103.054
47900 9.00473e+06 48.511
48000 -2.51467e+07 -134.16
48100 -1.42117e+07 -75.6707
48200 -1.46967e+07 -78.2647
48300 -1.58521e+07 -84.4455
48400 -1.26963e+07 -67.5653
48500 -2.60888e+06 -13.6087
48600 -2.49199e+07 -132.949
48700 -1.73719e+07 -92.575
48800 -9.86242e+06 -52.4075
48900 -1.94233e+07 -103.548
49000 -4.1418e+06 -21.8084
49100 -7.6143e+06 -40.3828
49200 7.13685e+06 38.5209
49300 -1.02309e+07 -54.3792
49400 3.64987e+06 19.8692
49500 2.76981e+06 15.1618
49600 9.1965e+06 49.5383
49700 1.80209e+07 96.7405
49800 7.65806e+06 41.3093
49900 2.71781e+06 14.8837
50000 5.35425e+06 28.9863
50100 -2.47138e+07 -131.85
50200 -1.81093e+07 -96.5221
50300 -1.12889e+07 -60.0397
50400 1.85639e+07 99.6463
50500 1.74338e+07 93.6014
50600 5.41473e+06 29.3101
50700 -2.61694e+07 -139.638
50800 361551 2.27996
50900 7.12147e+06 38.4399
51000 2.25554e+07 120.999
51100 1.70474e+06 9.46496
51200 6.83011e+06 36.8816
51300 1.05343e+07 56.6964
51400 2.93428e+07 157.307
51500 2.74013e+07 146.922
51600 2.14151e+07 114.901
51700 1.12565e+07 60.56
51800 1.72415e+07 92.5756
51900 142786 1.10982
52000 6.47007e+06 34.9564
52100 -6.91017e+06 -36.6186
52200 2.44807e+07 131.301
52300 7.52149e+06 40.5809
52400 9.09013e+06 48.9722
52500 1.35429e+07 72.7918
52600 -1.89106e+07 -100.814
52700 -3.73594e+06 -19.639
52800 1.68691e+07 90.5853
52900 1.7075e+07 91.687
53000 3.23311e+07 173.299
53100 2.22881e+07 119.575
53200 2.52516e+07 135.428
53300 1.67087e+07 89.7284
53400 1.81392e+07 97.3815
53500 2.88539e+07 154.7
53600 2.82625e+07 151.536
53700 4.51838e+07 242.058
53800 3.46195e+07 185.544
53900 1.36449e+07 73.3402
54000 1.79403e+07 96.3189
54100 3.39558e+07 181.995
54200 4.43509e+07 237.605
54300 6.01933e+07 322.356
54400 3.16997e+07 169.927
54500 1.04427e+07 56.2105
54600 1.51246e+07 81.2571
54700 4.61442e+07 247.201
54800 1.79302e+07 96.2669
54900 3.84872e+07 206.24
55000 6.56782e+07 351.705
55100 4.1017e+07 219.775
55200 2.0279e+07 108.833
55300 1.39894e+07 75.1857
55400 3.59416e+07 192.625
55500 3.61463e+07 193.721
55600 5.84945e+07 313.279
55700 4.25548e+07 228.006
55800 5.04608e+07 270.302
55900 3.8231e+07 204.876
56000 3.2623e+07 174.874
56100 4.41453e+07 236.517
56200 4.09481e+07 219.413
56300 5.2739e+07 282.494
56400 1.79903e+07 96.5926
56500 2.0247e+07 108.666
56600 3.69264e+07 197.9
56700 3.58621e+07 192.207
56800 4.61803e+07 247.409
56900 5.03468e+07 269.701
57000 4.90979e+07 263.02
57100 3.76462e+07 201.754
57200 4.97231e+07 266.367
57300 4.81304e+07 257.846
57400 5.1631e+07 276.576
57500 5.87628e+07 314.732
57600 5.03872e+07 269.923
57700 4.52818e+07 242.609
57800 6.90909e+07 369.992
57900 6.98464e+07 374.035
58000 5.63232e+07 301.685
58100 7.58176e+07 405.984
58200 3.17089e+07 169.995
58300 5.8695e+07 314.377
58400 3.61625e+07 193.824
58500 5.93737e+07 318.011
58600 7.52943e+07 403.191
58700 6.62915e+07 355.025
58800 6.60737e+07 353.861
58900 5.29048e+07 283.404
59000 3.93573e+07 210.921
59100 6.58411e+07 352.62
59200 5.60484e+07 300.227
59300 7.81289e+07 418.367
59400 4.97032e+07 266.279
59500 6.75957e+07 362.012
59600 5.22264e+07 279.781
59700 6.09836e+07 326.637
59800 7.36596e+07 394.461
59900 5.80547e+07 310.969
60000 8.80509e+07 471.465
60100 8.94469e+07 478.936
60200 6.85078e+07 366.902
60300 6.52236e+07 349.331
60400 7.142e+07 382.487
60500 7.58377e+07 406.125
60600 8.37605e+07 448.519
60700 9.62509e+07 515.352
60800 9.24423e+07 494.976
60900 7.39068e+07 395.799
61000 8.235e+07 440.978
61100 9.12539e+07 488.623
61200 9.06659e+07 485.478
61300 8.73608e+07 467.795
61400 8.2427e+07 441.397
61500 1.10755e+08 592.976
