# Time-averaged data for fix log
# TimeStep v_P v_V v_E
82600 3.26027 6107.86 0.00836873
82800 3.25894 6110.35 0.00839589
83000 3.27457 6116.44 0.00837526
83200 3.25239 6125.74 0.00839929
83400 3.21964 6138 0.00821102
83600 3.18166 6151.34 0.00818766
83800 3.05071 6162.5 0.00793905
84000 3.00475 6168.21 0.00785274
84200 3.05896 6166.53 0.00793646
84400 3.04732 6159.3 0.00800164
84600 3.1299 6149.3 0.00818412
84800 3.22299 6139.19 0.00836359
85000 3.18468 6129.49 0.00812073
85200 3.16619 6118.48 0.00829721
85400 3.28851 6107.44 0.00842124
85600 3.33652 6097.23 0.00857345
85800 3.30071 6089.9 0.00839321
86000 3.40354 6084.09 0.00863871
86200 3.28454 6079.9 0.00841484
86400 3.32325 6075.95 0.00858961
86600 3.40505 6073.77 0.00870109
86800 3.5314 6074.98 0.00878579
87000 3.41868 6081.06 0.00869404
87200 3.40867 6088.89 0.00849249
87400 3.25712 6094.54 0.00831616
87600 3.23118 6095.21 0.00831163
87800 3.31093 6091.51 0.00847873
88000 3.38372 6086 0.00866693
88200 3.50609 6081.39 0.00872169
88400 3.42614 6078.37 0.00867084
88600 3.36754 6075.55 0.00854602
88800 3.44318 6071.15 0.00877714
89000 3.42429 6065.94 0.00878255
89200 3.47373 6060.34 0.00876278
89400 3.52058 6055.27 0.00880138
89600 3.61139 6052.45 0.00894701
89800 3.51692 6052.67 0.00887769
90000 3.51142 6054.79 0.00885186
90200 3.39806 6055.97 0.00863428
90400 3.44505 6053.94 0.00872268
90600 3.44019 6048.95 0.00871971
90800 3.53844 6042.04 0.00883377
91000 3.67062 6036.42 0.00912776
91200 3.63697 6034.84 0.00908803
91400 3.55642 6035.93 0.00892556
91600 3.61596 6036.09 0.00903105
91800 3.52684 6035.01 0.00893181
92000 3.55355 6032.58 0.00885358
92200 3.56958 6029.99 0.00910659
92400 3.58847 6028.38 0.00900705
92600 3.52116 6026.78 0.0088075
92800 3.58237 6021.77 0.00899049
93000 3.6829 6014.33 0.00915071
93200 3.72134 6006.98 0.00927338
93400 3.85922 6001.75 0.00936026
93600 3.70669 6000.18 0.00917049
93800 3.67479 6000.24 0.00918565
94000 3.64425 5999.07 0.00906829
94200 3.65691 5996.25 0.00914366
94400 3.77947 5993.53 0.00929625
94600 3.85582 5991.22 0.00943883
94800 3.73458 5990.07 0.00926057
95000 3.75895 5988.27 0.00930747
95200 3.79424 5984.84 0.0093314
95400 3.74969 5980.85 0.00931015
95600 3.85023 5977.44 0.00947298
95800 3.86884 5976.3 0.0095145
96000 3.69034 5977.04 0.0092713
96200 3.77688 5977.74 0.00931946
96400 3.80361 5976.34 0.00930442
96600 3.82541 5972.06 0.00945688
96800 3.8139 5966.32 0.00946429
97000 3.96679 5961.07 0.00958154
97200 3.94786 5957.84 0.00965503
97400 3.78108 5956.09 0.00963421
97600 3.91561 5954.57 0.00960884
97800 3.92675 5953.13 0.00970487
98000 4.02352 5951.91 0.00983463
98200 3.97288 5952.63 0.00967514
98400 3.98233 5955.56 0.00975138
98600 3.90778 5959.67 0.00953179
98800 3.75653 5963.26 0.0094382
99000 3.71185 5962.6 0.00935681
99200 3.8619 5956.82 0.00947168
99400 3.94263 5947.59 0.00974294
99600 4.08461 5937.81 0.00979664
99800 4.052 5929.27 0.00997038
100000 4.08613 5923.35 0.00993033
100200 4.10441 5919.67 0.00994515
100400 4.14016 5918.29 0.010013
100600 4.10949 5919.46 0.0100424
100800 4.00241 5923.96 0.00991319
101000 4.04481 5929.84 0.0099256
101200 4.00937 5936.32 0.00987263
101400 4.08929 5942.4 0.00988195
101600 4.04657 5948.22 0.00980999
101800 3.98496 5953.15 0.00972777
102000 4.0021 5955.75 0.00973601
102200 3.9141 5953.54 0.0096803
102400 3.98436 5945.74 0.00981758
102600 4.0678 5934.81 0.00989632
102800 4.15443 5923.57 0.0100602
103000 4.2319 5913.63 0.0103026
103200 4.23363 5905.46 0.0101424
103400 4.186 5898.58 0.0101547
103600 4.23496 5893.44 0.0101127
103800 4.22709 5889.89 0.0101409
104000 4.25857 5887.59 0.0103104
104200 4.20514 5886.54 0.0102282
104400 4.21217 5886.14 0.0101843
104600 4.28204 5886.36 0.0102555
104800 4.40946 5888.51 0.0103353
105000 4.30628 5892 0.0102854
105200 4.1791 5895.16 0.0100723
105400 4.19824 5895.97 0.0101393
105600 4.21081 5893.65 0.0101072
105800 4.22543 5888.51 0.0101429
106000 4.34884 5882.45 0.0102556
106200 4.43207 5877.36 0.0104685
106400 4.36616 5874.13 0.0103095
106600 4.39677 5872.04 0.0105201
106800 4.3279 5871.27 0.0103573
107000 4.36614 5869.61 0.0104581
107200 4.40165 5867.7 0.0104788
107400 4.44741 5865.73 0.0106283
107600 4.45729 5865.04 0.010519
107800 4.45271 5865.84 0.0107084
108000 4.46531 5868.21 0.0105826
108200 4.36172 5871.27 0.0105043
108400 4.26895 5873.23 0.0102612
108600 4.30797 5871.3 0.0103812
108800 4.3678 5864.87 0.0104887
109000 4.51819 5854.96 0.0105992
109200 4.56402 5844.46 0.0107401
109400 4.65809 5837.31 0.01085
109600 4.71559 5836.32 0.0110451
