# Time-averaged data for fix logger
# TimeStep c_Fobs c_Fsum c_Tglob
190400 3.2 905131 1.15028
190600 3.2 910879 1.1495
190800 3.2 911929 1.15258
191000 3.2 906929 1.15547
191200 3.2 911384 1.15142
191400 3.2 910021 1.1648
191600 3.2 908921 1.14873
191800 3.2 911936 1.15353
192000 3.2 918006 1.1602
192200 3.2 906659 1.15456
192400 3.2 908971 1.15935
192600 3.2 914725 1.16865
192800 3.2 914948 1.15574
193000 3.2 913476 1.16597
193200 3.2 911996 1.16693
193400 3.2 911622 1.16448
193600 3.2 916226 1.17005
193800 3.2 915846 1.16613
194000 3.2 916188 1.17478
194200 3.2 922069 1.17383
194400 3.2 915570 1.16758
194600 3.2 921872 1.17022
194800 3.2 923690 1.17249
195000 3.2 927510 1.18135
195200 3.2 915249 1.17742
195400 3.2 923962 1.1803
195600 3.2 925150 1.18229
195800 3.2 917037 1.17865
196000 3.2 923690 1.18835
196200 3.2 923322 1.17733
196400 3.2 916642 1.1848
196600 3.2 927546 1.19312
196800 3.2 920296 1.18276
197000 3.2 924465 1.18224
197200 3.2 932327 1.18135
197400 3.2 923591 1.18471
197600 3.2 919625 1.19378
197800 3.2 928188 1.19274
198000 3.2 925195 1.18368
198200 3.2 929338 1.19849
198400 3.2 926526 1.19412
198600 3.2 929695 1.19015
198800 3.2 934371 1.19343
199000 3.2 929979 1.18916
199200 3.2 934720 1.1939
199400 3.2 919849 1.20804
199600 3.2 926095 1.19046
199800 3.2 929932 1.20988
200000 3.2 935157 1.19623
200200 3.2 934728 1.20124
200400 3.2 939865 1.20558
200600 3.2 935286 1.19739
200800 3.2 930728 1.20604
201000 3.2 936166 1.20809
201200 3.2 941902 1.20081
201400 3.2 931653 1.19809
201600 3.2 940799 1.20753
201800 3.2 940097 1.20976
202000 3.2 941060 1.19644
202200 3.2 939074 1.21489
202400 3.2 942352 1.2021
202600 3.2 946976 1.21331
202800 3.2 936584 1.2048
203000 3.2 938090 1.21553
203200 3.2 944859 1.21856
203400 3.2 942493 1.21459
203600 3.2 941783 1.22296
203800 3.2 947378 1.22484
204000 3.2 944661 1.21252
204200 3.2 949169 1.21996
204400 3.2 951544 1.21509
