# Time-averaged data for fix logger
# TimeStep v_P v_Fobs c_Fsum v_EE v_hcp_frac
159000 42102 5.40428e+06 57.6171 93796.5 0
159500 41328.3 5.30758e+06 58.5759 90610.4 0
160000 38386.2 4.93475e+06 62.1735 79370.6 0
160500 35479.1 4.56574e+06 59.7564 76405.9 0
161000 33763.1 4.34729e+06 60.4233 71947.3 0
161500 35324.9 4.54611e+06 60.7709 74807.3 0
162000 39505.8 5.07653e+06 58.9218 86157.1 0
162500 44104.3 5.65701e+06 62.62 90338.8 0
163000 47303 6.06064e+06 56.9441 106432 0
163500 46680.3 5.98237e+06 66.0464 90578.4 0
164000 42276.6 5.42711e+06 58.1457 93336.4 0
164500 35006.9 4.50513e+06 65.4849 68796.5 0
165000 30932.6 3.98745e+06 57.8974 68870.9 0
165500 32201 4.14986e+06 57.0446 72747.6 0
166000 36753.4 4.72744e+06 61.499 76870.1 0
166500 43327.9 5.5598e+06 58.8228 94517.8 0
167000 46960.8 6.01881e+06 60.4964 99490.5 0
167500 46334.3 5.94006e+06 56.9182 104361 0
168000 43311 5.55791e+06 58.1357 95602.3 0
168500 40183.1 5.16201e+06 61.5815 83824.1 0
169000 39196.9 5.03794e+06 58.8209 85648.9 0
169500 38883.2 4.99778e+06 56.3118 88751.8 0
170000 39975.1 5.13584e+06 59.1485 86829.6 0
170500 41302.7 5.30334e+06 58.83 90146.9 0
171000 43014.5 5.51993e+06 57.2291 96453.2 0
171500 44343.3 5.68847e+06 54.1659 105019 0
172000 43595.4 5.59279e+06 56.883 98320.9 0
172500 42924.5 5.50906e+06 58.4368 94273.7 0
173000 41319 5.3062e+06 61.179 86732.4 0
173500 40017.9 5.14152e+06 60.7589 84621.6 0
174000 39701.9 5.10139e+06 62.3821 81776.5 0
174500 41270 5.29967e+06 56.6144 93609.9 0
175000 44499.5 5.7082e+06 60.9357 93675.8 0
175500 47355.3 6.06842e+06 54.2302 111901 0
176000 48241.9 6.17922e+06 63.2511 97693.6 0
176500 46445.9 5.95313e+06 61.5232 96762.3 0
177000 41810.8 5.36854e+06 55.2625 97146.2 0
177500 36628 4.71202e+06 62.7891 75045.3 0
178000 34523.4 4.4443e+06 59.2144 75054.4 0
178500 37897.3 4.87256e+06 60.3783 80700.4 0
179000 44930.6 5.76242e+06 54.9219 104920 0
179500 50571 6.47131e+06 61.8377 104650 0
180000 52765.3 6.74674e+06 58.8685 114607 0
180500 50029.7 6.40305e+06 60.7287 105437 0
181000 44840.4 5.75049e+06 60.4433 95138.6 0
181500 40545.9 5.20851e+06 59.36 87744.4 0
182000 38482.4 4.94634e+06 60.428 81855 0
182500 39995.4 5.13835e+06 60.7848 84533.5 0
183000 43402.4 5.56888e+06 57.6143 96657.9 0
183500 47672.6 6.10752e+06 59.3212 102957 0
184000 49913.6 6.38965e+06 53.6301 119143 0
184500 49525.5 6.34033e+06 61.476 103135 0
185000 47422.9 6.07646e+06 61.3942 98974.5 0
185500 43796.8 5.61901e+06 58.7412 95657 0
186000 41620.9 5.34454e+06 62.081 86089.8 0
186500 41248 5.29738e+06 58.4741 90593.5 0
187000 43615.9 5.59637e+06 61.7196 90674.1 0
187500 47640.5 6.10356e+06 62.9029 97031.5 0
188000 50880.6 6.51059e+06 60.0045 108502 0
188500 52367.6 6.69819e+06 59.4687 112634 0
189000 50250 6.43262e+06 55.596 115703 0
189500 45245.7 5.8012e+06 61.3523 94555.6 0
190000 41565.3 5.33681e+06 58.3131 91519.9 0
190500 41057.5 5.27265e+06 60.5504 87078.7 0
191000 43697.4 5.60602e+06 60.8295 92159.5 0
191500 48372.9 6.19534e+06 55.7526 111122 0
192000 51924.3 6.64048e+06 61.6242 107758 0
192500 53614.4 6.85352e+06 59.9083 114400 0
193000 51684.8 6.61264e+06 62.7699 105347 0
193500 45682.8 5.85601e+06 61.3423 95464.6 0
194000 40145.6 5.15655e+06 56.3108 91573 0
194500 38313.5 4.92481e+06 61.0692 80643.1 0
195000 42565.2 5.46386e+06 57.8134 94508.5 0
195500 50094 6.41224e+06 58.4589 109688 0
196000 56208.3 7.17766e+06 56.3388 127402 0
196500 57718.8 7.36692e+06 58.126 126741 0
197000 54005.5 6.90303e+06 64.6433 106786 0
197500 48406.7 6.20129e+06 58.1281 106683 0
198000 43577.2 5.59103e+06 61.1647 91409.4 0
198500 43138.9 5.5356e+06 58.4502 94706.2 0
199000 46368.7 5.94398e+06 59.8561 99304.5 0
199500 49954.9 6.39552e+06 54.9564 116375 0
200000 52133.4 6.66891e+06 59.3055 112450 0
200500 52439.5 6.7063e+06 57.4798 116672 0
201000 51658 6.60881e+06 59.7976 110520 0
201500 50291.4 6.43771e+06 59.8265 107606 0
202000 47965.8 6.14444e+06 64.3993 95411.6 0
202500 47194.5 6.04708e+06 56.4523 107118 0
203000 47921.9 6.13877e+06 62.0508 98931.4 0
203500 49458.8 6.33159e+06 63.482 99738.2 0
204000 52276.3 6.6873e+06 59.1671 113024 0
204500 53111.1 6.79109e+06 58.4356 116215 0
205000 53108.5 6.78964e+06 59.7628 113610 0
205500 52162.9 6.67126e+06 61.5576 108374 0
206000 49695.5 6.36259e+06 54.5526 116632 0
206500 46554.8 5.96762e+06 62.7152 95154.3 0
207000 44796.1 5.74516e+06 59.9999 95752.8 0
207500 47616.2 6.10029e+06 56.3465 108264 0
208000 54160 6.92279e+06 58.7598 117815 0
208500 60352.8 7.69739e+06 57.6875 133433 0
209000 60941.6 7.77056e+06 61.3111 126740 0
209500 56066 7.16096e+06 56.8721 125914 0
210000 49427.4 6.32821e+06 61.8582 102302 0
210500 45362.7 5.81741e+06 62.864 92539.5 0
211000 45019.3 5.77348e+06 56.1319 102856 0
211500 48834.1 6.25375e+06 60.0924 104069 0
212000 54139.9 6.92042e+06 61.7503 112071 0
212500 57823 7.38126e+06 56.0688 131647 0
213000 58180.3 7.42669e+06 57.8605 128355 0
213500 55543.5 7.09703e+06 63.9485 110980 0
214000 51996.8 6.65163e+06 58.0938 114498 0
214500 49822.4 6.37853e+06 59.8006 106663 0
215000 49809.1 6.3769e+06 61.46 103757 0
215500 51891.2 6.63848e+06 58.4278 113618 0
216000 54547.9 6.97175e+06 59.2439 117679 0
216500 56747.2 7.24707e+06 58.2903 124327 0
217000 56628.1 7.23121e+06 62.1753 116304 0
217500 55501.6 7.09029e+06 61.2336 115791 0
218000 53466.2 6.83586e+06 58.5859 116681 0
218500 52430.1 6.7071e+06 57.7974 116045 0
219000 52076.4 6.66173e+06 60.5277 110061 0
219500 53294.8 6.81471e+06 58.6748 116144 0
220000 55307.2 7.06657e+06 62.1751 113656 0
220500 56454.1 7.21006e+06 61.1522 117903 0
221000 56406.8 7.20391e+06 58.2931 123581 0
221500 56040.2 7.15866e+06 58.6571 122042 0
222000 55048.8 7.03384e+06 61.4158 114528 0
222500 54175.2 6.92453e+06 57.3574 120726 0
223000 53649.3 6.85798e+06 58.5492 117132 0
223500 54614.5 6.97941e+06 58.5105 119285 0
224000 56149.3 7.17218e+06 61.4222 116768 0
224500 57451 7.33502e+06 59.5194 123238 0
225000 57335.8 7.32029e+06 64.4722 113542 0
225500 56534.8 7.21976e+06 65.5002 110225 0
226000 55225.5 7.05526e+06 62.6138 112679 0
226500 55109.2 7.0413e+06 60.3193 116734 0
227000 55011.5 7.02887e+06 61.6359 114039 0
227500 56123.7 7.16852e+06 63.5659 112773 0
228000 57907.7 7.39237e+06 57.3629 128870 0
228500 58854.9 7.5097e+06 64.8442 115811 0
229000 59013.1 7.52994e+06 58.6262 128440 0
229500 57206.6 7.30463e+06 62.3602 117136 0
230000 55358 7.07361e+06 62.4511 113266 0
230500 54191.8 6.92695e+06 62.0933 111557 0
231000 55340.1 7.07072e+06 59.3551 119126 0
231500 57967.5 7.39915e+06 61.866 119599 0
232000 60429.8 7.70602e+06 59.7465 128979 0
232500 61790.1 7.87563e+06 58.2532 135196 0
233000 60449.3 7.70788e+06 61.6217 125084 0
233500 57774.2 7.37518e+06 65.6527 112336 0
234000 54456.4 6.96002e+06 58.3333 119315 0
234500 53422.8 6.83118e+06 56.8633 120133 0
235000 54908.7 7.01625e+06 59.1142 118690 0
235500 59578.8 7.59972e+06 58.6663 129541 0
236000 64378.7 8.19794e+06 58.58 139944 0
236500 66460 8.45751e+06 58.3078 145049 0
237000 63612 8.10407e+06 63.2046 128220 0
237500 57539.9 7.34583e+06 60.8081 120803 0
238000 52575.6 6.72437e+06 60.716 110751 0
238500 51616.8 6.60406e+06 57.5935 114667 0
239000 55225.2 7.05571e+06 63.2807 111499 0
239500 61427.8 7.83074e+06 57.7182 135672 0
240000 66491.8 8.4616e+06 62.498 135390 0
240500 66654.6 8.48268e+06 60.3141 140642 0
241000 62730.1 7.99292e+06 62.3475 128199 0
241500 59428.9 7.58214e+06 59.7683 126859 0
242000 57749.6 7.37197e+06 57.4887 128233 0
242500 57818.2 7.3797e+06 62.5909 117904 0
243000 59523.8 7.59329e+06 62.2925 121897 0
243500 61249 7.80835e+06 65.3652 119457 0
244000 62668.3 7.98611e+06 58.3966 136756 0
244500 62934.9 8.01874e+06 61.6885 129987 0
245000 62077.5 7.91161e+06 55.0362 143753 0
245500 61024.4 7.78103e+06 59.0388 131795 0
246000 59930.7 7.64447e+06 55.2013 138484 0
246500 59642.3 7.60783e+06 61.156 124401 0
247000 61051.8 7.78455e+06 61.1895 127220 0
247500 63223.6 8.05573e+06 53.105 151695 0
248000 64622.3 8.22853e+06 61.7744 133203 0
248500 64852.4 8.25621e+06 58.7821 140455 0
249000 63533.1 8.09237e+06 62.142 130224 0
249500 60248.6 7.68387e+06 59.7215 128662 0
250000 57000.9 7.27803e+06 62.4923 116463 0
250500 56641.2 7.23335e+06 57.1633 126538 0
251000 60730.7 7.74412e+06 59.8302 129435 0
251500 67032.1 8.52759e+06 61.3226 139061 0
252000 70848.1 8.99954e+06 62.0031 145147 0
252500 69923.2 8.88533e+06 61.2776 145001 0
253000 64327.1 8.19178e+06 62.9469 130138 0
253500 58160.8 7.42346e+06 57.811 128409 0
254000 55453.3 7.0845e+06 62.9162 112602 0
254500 58191.5 7.42686e+06 61.901 119980 0
255000 63818.4 8.12781e+06 59.2969 137070 0
255500 68528.1 8.71175e+06 62.1568 140158 0
256000 70430.2 8.94882e+06 56.582 158157 0
256500 67821.4 8.62495e+06 56.9315 151497 0
257000 63473.4 8.08554e+06 61.6218 131212 0
257500 60016 7.65498e+06 57.8625 132296 0
258000 59725.9 7.61873e+06 58.5166 130198 0
258500 62012.8 7.90294e+06 61.0191 129516 0
259000 65028.2 8.27648e+06 61.8004 133923 0
259500 68014.4 8.64728e+06 60.8684 142065 0
260000 68944.5 8.76437e+06 56.7075 154554 0
260500 66801.1 8.49836e+06 59.8945 141889 0
261000 63999 8.15092e+06 58.3356 139725 0
261500 62065.8 7.91081e+06 55.2404 143207 0
262000 62484.2 7.96209e+06 60.3702 131888 0
262500 64864.5 8.25776e+06 58.9355 140115 0
263000 67189.4 8.54569e+06 62.6563 136390 0
263500 68266.7 8.67913e+06 58.5031 148353 0
264000 67819.6 8.62458e+06 59.71 144441 0
264500 65984.8 8.39796e+06 58.1777 144350 0
265000 64318.9 8.19157e+06 58.5958 139798 0
265500 64085 8.16216e+06 61.4513 132823 0
266000 65114.3 8.28922e+06 57.6898 143686 0
266500 67188.9 8.54551e+06 59.4597 143719 0
267000 69348.7 8.81411e+06 57.0503 154497 0
267500 70060.9 8.90338e+06 56.1543 158552 0
268000 68757.2 8.74277e+06 56.4551 154862 0
268500 65995.9 8.40024e+06 56.2387 149368 0
269000 63781.2 8.12456e+06 59.422 136726 0
269500 63912 8.14047e+06 58.5207 139104 0
270000 66647.7 8.47959e+06 60.4066 140375 0
270500 71204.9 9.04418e+06 57.9898 155962 0
271000 74323.2 9.42952e+06 59.1922 159303 0
