# Time-averaged data for fix logger
# TimeStep v_P c_Fobs c_Fsum v_V
140200 2.97463 0.6912 184156 8017.6
140400 3.04508 0.6912 184996 8014.96
140600 3.05654 0.6912 185974 8014.1
140800 3.0662 0.6912 186608 8015.53
141000 3.10408 0.6912 186543 8018.76
141200 2.9479 0.6912 183189 8021.64
141400 2.9286 0.6912 183475 8021.63
141600 3.05045 0.6912 184447 8018.09
141800 3.02607 0.6912 185221 8013.39
142000 3.04814 0.6912 185116 8009.33
142200 3.08656 0.6912 186298 8006.4
142400 3.02795 0.6912 183744 8004.85
142600 3.03671 0.6912 185235 8002.63
142800 3.03342 0.6912 184988 7999.3
143000 3.09343 0.6912 187275 7995.3
143200 3.0988 0.6912 187548 7990.05
143400 3.13482 0.6912 184906 7984.05
143600 3.09021 0.6912 186512 7978.54
143800 3.11848 0.6912 185800 7971.94
144000 3.26253 0.6912 190142 7964.87
144200 3.14377 0.6912 186363 7960.14
144400 3.25207 0.6912 189162 7959.03
144600 3.18217 0.6912 187768 7962.57
144800 3.07991 0.6912 184461 7967.95
145000 3.03531 0.6912 184287 7971.81
145200 3.09593 0.6912 185268 7972.1
145400 3.15351 0.6912 190467 7969.21
145600 3.20649 0.6912 187894 7965.47
145800 3.2705 0.6912 190179 7964.68
146000 3.25602 0.6912 188898 7970.88
146200 3.06546 0.6912 185165 7982.47
146400 2.97014 0.6912 182229 7993.83
146600 2.96075 0.6912 182194 8001.31
146800 3.05707 0.6912 185424 8001.93
147000 3.13027 0.6912 188061 7996.29
147200 3.16617 0.6912 187191 7987.18
147400 3.17156 0.6912 188441 7977.56
147600 3.18002 0.6912 188162 7968.31
147800 3.19326 0.6912 186776 7958.65
148000 3.32018 0.6912 190617 7949.44
148200 3.21997 0.6912 187027 7942.31
148400 3.23564 0.6912 186512 7935.86
148600 3.22511 0.6912 186690 7930.12
148800 3.20421 0.6912 187095 7925.3
149000 3.21615 0.6912 186121 7919.78
149200 3.29937 0.6912 188539 7913.87
149400 3.29821 0.6912 188022 7909.89
149600 3.31752 0.6912 190974 7909.89
149800 3.32431 0.6912 190430 7914.94
150000 3.26091 0.6912 189478 7924.11
150200 3.15272 0.6912 186788 7933.4
150400 3.17914 0.6912 186092 7937.9
150600 3.23548 0.6912 188287 7936.51
150800 3.29207 0.6912 190472 7931.08
151000 3.26359 0.6912 187026 7924.94
151200 3.3607 0.6912 191252 7920.5
151400 3.32518 0.6912 187950 7918.29
